id,nombres,fecha_nacimiento,partido_id,cargo_id,
-1,NULO,1/01/2023,-1,-1,
1,ZURY MAYTE RIOS SOSA,13/02/1973,1,1,
2,SANDRA JULIETA TORRES CASANOVA,26/12/1955,2,1,
3,ISAAC FARCHI SULTAN,6/10/1973,3,1,
4,EDMOND MULET,5/11/1950,4,1,
5,RICARDO SAGASTUME MORALES,31/10/1973,5,1,
6,MANUEL EDUARDO CONDE ORELLANA,7/08/1975,6,1,
7,RUDIO LECSAN MERIDA HERRERA,25/09/1968,7,1,
8,JOSE RAFAEL ESPADA,12/09/1962,8,1,
9,ROBERTO ARZU GARCIA GRANADOS,9/05/1960,9,1,
10,THELMA CABRERA PEREZ,12/01/1961,10,1,
11,LUIS ANTONIO LAM PADILLA,12/07/1955,11,1,
12,JOSE AMILCAR RIVERA ESTEVEZ,1/07/1965,12,1,
13,RUDY GUZMAN,21/04/1957,13,1,
14,CESAR BERNARDO AREVALO DE LEON,13/02/1951,14,1,
15,HUGO EL ELEFANTE PEÑA,5/02/1970,15,1,
16,SAMMY MORALES,8/12/1957,16,1,
17,CARLOS RENE PINEDA SOSA,3/11/1961,17,1,
18,AMILCAR DE JESUS POP AC,12/12/1962,18,1,
19,ARMANDO CASTILLO,31/12/1958,19,1,
20,GIOVANNI EFRAIN REYES ORTIZ,13/05/1964,20,1,
21,ALVARO MANUEL TRUJILLO BALDIZON,9/05/1959,21,1,
22,MANUEL RICARDO VILLACORTA ORANTES,12/01/1972,22,1,
23,FRANCISCO ALFREDO ARREDONDO MENDOZA,7/10/1973,23,1,
24,HECTOR ADOLFO CIFUENTES MENDOZA,26/06/1966,1,2,
25,ROMEO ESTUARDO GUERRA LEMUS,27/01/1961,2,2,
26,ULISES MAURICIO ZALDAÑA DE LEON,8/03/1967,3,2,
27,MAX SANTA CRUZ ANCHISSI,21/10/1964,4,2,
28,MOY GONZALEZ,6/06/1964,5,2,
29,LUIS ANTONIO SUAREZ ROLDAN,12/07/1969,6,2,
30,RUBEN DARIO ROSALES DEL CID,23/07/1953,7,2,
31,ARTURO ALFREDO HERRADOR SANDOVAL,19/12/1953,8,2,
32,DAVID ESTEBAN PINEDA BARRIOS,22/02/1967,9,2,
33,AUGUSTO JORDAN RODAS ANDRADE,29/04/1964,10,2,
34,OTTO RENE MARROQUIN OCHOA,1/12/1971,11,2,
35,HUGO FERNANDO MAZARIEGOS RODRIGUEZ,30/06/1955,12,2,
36,DIEGO ISRAEL GONZALEZ ALVARADO,21/03/1957,13,2,
37,KARIN LARISSA HERRERA AGUILAR,8/07/1971,14,2,
38,HUGO RENE JOHNSON LOPEZ,9/08/1969,15,2,
39,MIGUEL ANGEL ESTUARDO MOIR SANDOVAL,25/03/1950,16,2,
40,EFRAIN OROZCO GONZALEZ,16/09/1959,17,2,
41,MONICA ALEJANDRA ENRIQUEZ MONZON,22/02/1972,18,2,
42,EDGAR GRISOLIA,11/11/1963,19,2,
43,OSCAR LEONEL FIGUEROA CABRERA,26/09/1956,20,2,
44,MIGUEL ANGEL IBARRA GONZALEZ,11/01/1966,21,2,
45,JORGE MARIO GARCIA ESPAÑA,29/07/1951,22,2,
46,FRANCISCO BERMUDEZ AMADO,16/04/1968,23,2,
47,Rene Hedau,17/08/1964,4,3,
48,Filide Melliard,16/01/1947,10,3,
49,Mada Hawkslee,1/02/1964,11,3,
50,Mallory MacNeilage,10/11/1973,11,3,
51,Sheridan Studholme,9/06/1947,12,3,
52,Kipp Swoffer,12/11/1960,14,3,
53,Moria Hubber,22/12/1943,18,3,
54,Isiahi Domerque,13/08/1945,16,3,
55,Iain Mainstone,6/05/1955,15,3,
56,Melosa Wybern,3/05/1958,12,3,
57,Mohandis Utteridge,11/01/1973,3,3,
58,Eugine Martinec,10/07/1943,23,3,
59,Joete Haszard,21/02/1951,1,3,
60,Benedicta Snewin,28/03/1978,21,3,
61,Ingrid Reavey,20/09/1959,16,3,
62,Skippie Inglish,8/03/1978,9,3,
63,Hailey Sambath,21/07/1942,18,3,
64,Niccolo Dugue,11/05/1942,7,3,
65,Michell Greensmith,2/10/1959,3,3,
66,Dre Bedin,22/11/1947,23,3,
67,Myca Budleigh,20/12/1952,22,3,
68,Maurise Tatters,17/10/1976,7,3,
69,Hailee Schole,8/05/1980,17,3,
70,Korie Storah,22/03/1940,5,3,
71,Robinet Keyzor,7/02/1959,9,3,
