id_mesa,id_departamento
1,15
2,7
3,22
4,8
5,4
6,5
7,16
8,14
9,9
10,18
11,19
12,3
13,12
14,8
15,5
16,21
17,20
18,17
19,19
20,19
21,10
22,19
23,11
24,16
25,19
26,15
27,9
28,17
29,17
30,18
31,19
32,2
33,3
34,2
35,21
36,14
37,4
38,6
39,12
40,10
41,12
42,5
43,14
44,15
45,5
46,11
47,5
48,16
49,6
50,6
51,16
52,2
53,20
54,19
55,20
56,6
57,18
58,22
59,20
60,19
61,6
62,7
63,22
64,8
65,7
66,4
67,11
68,2
69,12
70,18
71,7
72,8
73,6
74,21
75,17
76,21
77,8
78,11
79,10
80,1
81,1
82,19
83,15
84,7
85,20
86,18
87,15
88,11
89,1
90,20
91,10
92,12
93,16
94,8
95,3
96,4
97,1
98,6
99,14
100,20
101,22
102,11
103,1
104,21
105,5
106,22
107,18
108,1
109,2
110,16
111,8
112,16
113,1
114,13
115,8
116,9
117,12
118,9
119,17
120,21
121,18
122,8
123,16
124,12
125,9
126,15
127,13
128,7
129,21
130,15
131,18
132,6
133,5
134,7
135,2
136,22
137,12
138,22
139,8
140,6
141,20
142,13
143,12
144,20
145,2
146,5
147,18
148,14
149,18
150,8
151,10
152,8
153,8
154,7
155,6
156,10
157,17
158,5
159,10
160,12
161,9
162,3
163,16
164,6
165,2
166,8
167,19
168,14
169,2
170,7
171,21
172,21
173,19
174,14
175,20
176,22
177,22
178,2
179,14
180,5
181,15
182,13
183,6
184,7
185,13
186,11
187,15
188,9
189,1
190,11
191,5
192,11
193,22
194,20
195,5
196,7
197,20
198,18
199,10
200,17
201,11
202,18
203,17
204,5
205,2
206,12
207,5
208,22
209,4
210,6
211,20
212,12
213,5
214,20
215,16
216,22
217,12
218,9
219,13
220,14
221,3
222,5
223,1
224,2
225,19
226,18
227,9
228,11
229,10
230,14
231,22
232,8
233,13
234,5
235,3
236,13
237,4
238,13
239,10
240,4
241,6
242,4
243,9
244,5
245,8
246,6
247,21
248,19
249,1
250,15
251,3
252,4
253,16
