id_partido,nombrePartido,Siglas,Fundacion
-1,NULO,NULO,1/01/2023
1,VALOR ,VALOR ,26/05/2017
2,UNIDAD NACIONAL DELA ESPERANZA,UNE,6/09/2002
3,PARTIDO AZUL ,AZUL ,25/04/2022
4,CABAL ,CABAL,27/11/2020
5,TODOS ,TODOS ,26/08/2012
6,VAMOS POR UNAGUATEMALADIFERENTE,VAMOS,5/05/2017
7,PARTIDO HUMANISTADE GUATEMALA ,PHG ,17/01/2017
8,PARTIDOREPUBLICANO ,PR,10/01/1990
9,PODEMOS ,PODEMOS ,6/04/1995
10,MOVIMIENTO PARA LALIBERACION DE LOSPUEBLOS,MLP ,8/12/2016
11,PARTIDO DEINTEGRACIONNACIONAL,PIN ,30/01/1996
12,VICTORIA ,VICTORIA,5/05/2007
13,PARTIDO POLITICONOSOSTROS ,PPN ,22/04/2022
14,MOVIMIENTO SEMILLA ,SEMILLA,14/07/2017
15,COMUNIDADELEFANTE ,ELEFANTE,1/08/2022
16,FRENTE DECONVERGENCIANACIONAL,FCNNACION,7/01/2008
17,PROSPERIDADCIUDADANA,PC,20/06/2016
18,MOVIMIENTO POLÍTICO WINAQ ,WINAQ ,14/04/2011
19,VISIÓN CON VALORES ,VIVA,20/01/2007
20,BIENESTAR NACIONAL ,BIEN ,1/01/2002
21,CAMBIO ,CAMBIO,20/11/2020
22,"VOLUNTAD, OPORTUNIDAD Y SOLIDARIDAD",VOS ,5/01/2020
23,"COMPROMISO,RENOVACION YORDEN ",CREO,1/01/2010
